Site,Weight,mz,time_since_excl,map,mat,treatment
4CNW,1.336888233,2 (Very Dry),6,460,12.4,F
4CNW,0,2 (Very Dry),6,460,12.4,F
4CNW,0,2 (Very Dry),6,460,12.4,F
4CNW,0,2 (Very Dry),6,460,12.4,F
4CNW,0,2 (Very Dry),6,460,12.4,F
4CNW,0,2 (Very Dry),6,460,12.4,F
4CNW,0,2 (Very Dry),6,460,12.4,F
4CNW,0,2 (Very Dry),6,460,12.4,F
4CNW,0,2 (Very Dry),6,460,12.4,F
4CNW,0,2 (Very Dry),6,460,12.4,F
4CNW,0,2 (Very Dry),6,460,12.4,F
4CNW,0,2 (Very Dry),6,460,12.4,F
4CNW,0,2 (Very Dry),6,460,12.4,F
4CNW,0,2 (Very Dry),6,460,12.4,F
4CNW,0,2 (Very Dry),6,460,12.4,F
4CNW,0.065777755,2 (Very Dry),0,460,12.4,U
4CNW,0,2 (Very Dry),0,460,12.4,U
4CNW,0,2 (Very Dry),0,460,12.4,U
4CNW,0,2 (Very Dry),0,460,12.4,U
4CNW,0,2 (Very Dry),0,460,12.4,U
4CNW,0,2 (Very Dry),0,460,12.4,U
4CNW,0,2 (Very Dry),0,460,12.4,U
4CNW,0,2 (Very Dry),0,460,12.4,U
4CNW,0,2 (Very Dry),0,460,12.4,U
4CNW,0,2 (Very Dry),0,460,12.4,U
4CNW,0,2 (Very Dry),0,460,12.4,U
4CNW,0,2 (Very Dry),0,460,12.4,U
4CNW,0,2 (Very Dry),0,460,12.4,U
4CNW,0,2 (Very Dry),0,460,12.4,U
4CNW,0,2 (Very Dry),0,460,12.4,U
4CSE,0,2 (Very Dry),15,460,12.4,F
4CSE,0,2 (Very Dry),15,460,12.4,F
4CSE,0,2 (Very Dry),15,460,12.4,F
4CSE,0,2 (Very Dry),15,460,12.4,F
4CSE,0,2 (Very Dry),15,460,12.4,F
4CSE,0,2 (Very Dry),15,460,12.4,F
4CSE,0,2 (Very Dry),15,460,12.4,F
4CSE,0,2 (Very Dry),15,460,12.4,F
4CSE,0,2 (Very Dry),15,460,12.4,F
4CSE,0,2 (Very Dry),15,460,12.4,F
4CSE,0,2 (Very Dry),15,460,12.4,F
4CSE,0,2 (Very Dry),15,460,12.4,F
4CSE,0,2 (Very Dry),15,460,12.4,F
4CSE,0,2 (Very Dry),15,460,12.4,F
4CSE,0,2 (Very Dry),15,460,12.4,F
4CSE,0,2 (Very Dry),0,460,12.4,U
4CSE,0,2 (Very Dry),0,460,12.4,U
4CSE,0,2 (Very Dry),0,460,12.4,U
4CSE,0,2 (Very Dry),0,460,12.4,U
4CSE,0,2 (Very Dry),0,460,12.4,U
4CSE,0,2 (Very Dry),0,460,12.4,U
4CSE,0,2 (Very Dry),0,460,12.4,U
4CSE,0,2 (Very Dry),0,460,12.4,U
4CSE,0,2 (Very Dry),0,460,12.4,U
4CSE,0,2 (Very Dry),0,460,12.4,U
4CSE,0,2 (Very Dry),0,460,12.4,U
4CSE,0,2 (Very Dry),0,460,12.4,U
4CSE,0,2 (Very Dry),0,460,12.4,U
4CSE,0,2 (Very Dry),0,460,12.4,U
4CSE,0,2 (Very Dry),0,460,12.4,U
4CSW,0,2 (Very Dry),8,460,12.4,F
4CSW,0,2 (Very Dry),8,460,12.4,F
4CSW,0,2 (Very Dry),8,460,12.4,F
4CSW,0,2 (Very Dry),8,460,12.4,F
4CSW,0,2 (Very Dry),8,460,12.4,F
4CSW,0,2 (Very Dry),8,460,12.4,F
4CSW,0,2 (Very Dry),8,460,12.4,F
4CSW,0,2 (Very Dry),8,460,12.4,F
4CSW,0,2 (Very Dry),8,460,12.4,F
4CSW,0,2 (Very Dry),8,460,12.4,F
4CSW,0,2 (Very Dry),8,460,12.4,F
4CSW,0,2 (Very Dry),8,460,12.4,F
4CSW,0,2 (Very Dry),8,460,12.4,F
4CSW,0,2 (Very Dry),8,460,12.4,F
4CSW,0,2 (Very Dry),8,460,12.4,F
4CSW,0,2 (Very Dry),0,460,12.4,U
4CSW,0,2 (Very Dry),0,460,12.4,U
4CSW,0,2 (Very Dry),0,460,12.4,U
4CSW,0,2 (Very Dry),0,460,12.4,U
4CSW,0,2 (Very Dry),0,460,12.4,U
4CSW,0,2 (Very Dry),0,460,12.4,U
4CSW,0,2 (Very Dry),0,460,12.4,U
4CSW,0,2 (Very Dry),0,460,12.4,U
4CSW,0,2 (Very Dry),0,460,12.4,U
4CSW,0,2 (Very Dry),0,460,12.4,U
4CSW,0,2 (Very Dry),0,460,12.4,U
4CSW,0,2 (Very Dry),0,460,12.4,U
4CSW,0,2 (Very Dry),0,460,12.4,U
4CSW,0,2 (Very Dry),0,460,12.4,U
4CSW,0,2 (Very Dry),0,460,12.4,U
KA,23.248,6 (Moderately Wet),5,3140,17.7,F
KA,21.92,6 (Moderately Wet),5,3140,17.7,F
KA,19.632,6 (Moderately Wet),5,3140,17.7,F
KA,19.328,6 (Moderately Wet),5,3140,17.7,F
KA,16.496,6 (Moderately Wet),5,3140,17.7,F
KA,15.792,6 (Moderately Wet),5,3140,17.7,F
KA,15.52,6 (Moderately Wet),5,3140,17.7,F
KA,14.896,6 (Moderately Wet),5,3140,17.7,F
KA,14.832,6 (Moderately Wet),5,3140,17.7,F
KA,14.624,6 (Moderately Wet),5,3140,17.7,F
KA,14.112,6 (Moderately Wet),5,3140,17.7,F
KA,13.504,6 (Moderately Wet),5,3140,17.7,F
KA,13.04,6 (Moderately Wet),5,3140,17.7,F
KA,12.896,6 (Moderately Wet),5,3140,17.7,F
KA,12.096,6 (Moderately Wet),5,3140,17.7,F
KA,11.92,6 (Moderately Wet),5,3140,17.7,F
KA,9.84,6 (Moderately Wet),5,3140,17.7,F
KA,7.296,6 (Moderately Wet),5,3140,17.7,F
KA,14.576,6 (Moderately Wet),0,3140,17.7,U
KA,13.216,6 (Moderately Wet),0,3140,17.7,U
KA,10.88,6 (Moderately Wet),0,3140,17.7,U
KA,9.936,6 (Moderately Wet),0,3140,17.7,U
KA,9.824,6 (Moderately Wet),0,3140,17.7,U
KA,9.024,6 (Moderately Wet),0,3140,17.7,U
KA,9.024,6 (Moderately Wet),0,3140,17.7,U
KA,8.928,6 (Moderately Wet),0,3140,17.7,U
KA,5.68,6 (Moderately Wet),0,3140,17.7,U
KA,5.088,6 (Moderately Wet),0,3140,17.7,U
KA,4.656,6 (Moderately Wet),0,3140,17.7,U
KA,4.608,6 (Moderately Wet),0,3140,17.7,U
KA,4.512,6 (Moderately Wet),0,3140,17.7,U
KA,3.92,6 (Moderately Wet),0,3140,17.7,U
KA,3.504,6 (Moderately Wet),0,3140,17.7,U
KA,2.784,6 (Moderately Wet),0,3140,17.7,U
KA,2.304,6 (Moderately Wet),0,3140,17.7,U
KA,2.288,6 (Moderately Wet),0,3140,17.7,U
KA,1.36,6 (Moderately Wet),0,3140,17.7,U
KC,11.776,3 (Moderately Dry),9,1204,9.2,F
KC,9.776,3 (Moderately Dry),9,1204,9.2,F
KC,9.552,3 (Moderately Dry),9,1204,9.2,F
KC,9.552,3 (Moderately Dry),9,1204,9.2,F
KC,9.168,3 (Moderately Dry),9,1204,9.2,F
KC,9.152,3 (Moderately Dry),9,1204,9.2,F
KC,8.384,3 (Moderately Dry),9,1204,9.2,F
KC,7.536,3 (Moderately Dry),9,1204,9.2,F
KC,7.52,3 (Moderately Dry),9,1204,9.2,F
KC,7.328,3 (Moderately Dry),9,1204,9.2,F
KC,7.104,3 (Moderately Dry),9,1204,9.2,F
KC,6.448,3 (Moderately Dry),9,1204,9.2,F
KC,6.176,3 (Moderately Dry),9,1204,9.2,F
KC,6.112,3 (Moderately Dry),9,1204,9.2,F
KC,5.776,3 (Moderately Dry),9,1204,9.2,F
KC,4.384,3 (Moderately Dry),9,1204,9.2,F
KC,3.136,3 (Moderately Dry),9,1204,9.2,F
KC,2.064,3 (Moderately Dry),9,1204,9.2,F
KC,21.296,3 (Moderately Dry),0,1204,9.2,U
KC,10.112,3 (Moderately Dry),0,1204,9.2,U
KC,8.096,3 (Moderately Dry),0,1204,9.2,U
KC,7.296,3 (Moderately Dry),0,1204,9.2,U
KC,5.152,3 (Moderately Dry),0,1204,9.2,U
KC,5.088,3 (Moderately Dry),0,1204,9.2,U
KC,4.992,3 (Moderately Dry),0,1204,9.2,U
KC,4.864,3 (Moderately Dry),0,1204,9.2,U
KC,4.64,3 (Moderately Dry),0,1204,9.2,U
KC,4.592,3 (Moderately Dry),0,1204,9.2,U
KC,4.448,3 (Moderately Dry),0,1204,9.2,U
KC,3.264,3 (Moderately Dry),0,1204,9.2,U
KC,3.056,3 (Moderately Dry),0,1204,9.2,U
KC,2.928,3 (Moderately Dry),0,1204,9.2,U
KC,2.048,3 (Moderately Dry),0,1204,9.2,U
KC,1.456,3 (Moderately Dry),0,1204,9.2,U
KC,1.056,3 (Moderately Dry),0,1204,9.2,U
KK,14.16,2 (Very Dry),10,524,13.7,F
KK,14.016,2 (Very Dry),10,524,13.7,F
KK,7.44,2 (Very Dry),10,524,13.7,F
KK,6.416,2 (Very Dry),10,524,13.7,F
KK,6.32,2 (Very Dry),10,524,13.7,F
KK,5.824,2 (Very Dry),10,524,13.7,F
KK,5.744,2 (Very Dry),10,524,13.7,F
KK,4.272,2 (Very Dry),10,524,13.7,F
KK,3.904,2 (Very Dry),10,524,13.7,F
KK,1.328,2 (Very Dry),10,524,13.7,F
KK,0,2 (Very Dry),10,524,13.7,F
KK,0,2 (Very Dry),10,524,13.7,F
KK,0,2 (Very Dry),10,524,13.7,F
KK,0,2 (Very Dry),10,524,13.7,F
KK,0,2 (Very Dry),10,524,13.7,F
KK,0,2 (Very Dry),10,524,13.7,F
KK,0,2 (Very Dry),10,524,13.7,F
KK,19.696,2 (Very Dry),0,524,13.7,U
KK,9.888,2 (Very Dry),0,524,13.7,U
KK,8.624,2 (Very Dry),0,524,13.7,U
KK,5.744,2 (Very Dry),0,524,13.7,U
KK,5.056,2 (Very Dry),0,524,13.7,U
KK,0,2 (Very Dry),0,524,13.7,U
KK,0,2 (Very Dry),0,524,13.7,U
KK,0,2 (Very Dry),0,524,13.7,U
KK,0,2 (Very Dry),0,524,13.7,U
KK,0,2 (Very Dry),0,524,13.7,U
KK,0,2 (Very Dry),0,524,13.7,U
KK,0,2 (Very Dry),0,524,13.7,U
KK,0,2 (Very Dry),0,524,13.7,U
KK,0,2 (Very Dry),0,524,13.7,U
KK,0,2 (Very Dry),0,524,13.7,U
KK,0.032,2 (Very Dry),0,524,13.7,U
KK,0.008,2 (Very Dry),0,524,13.7,U
KL,17.232,4 (Seasonal Mesic),9,1704,11,F
KL,15.1904,4 (Seasonal Mesic),9,1704,11,F
KL,14.376,4 (Seasonal Mesic),9,1704,11,F
KL,12.2688,4 (Seasonal Mesic),9,1704,11,F
KL,11.6848,4 (Seasonal Mesic),9,1704,11,F
KL,9.6912,4 (Seasonal Mesic),9,1704,11,F
KL,8.5792,4 (Seasonal Mesic),9,1704,11,F
KL,8.576,4 (Seasonal Mesic),9,1704,11,F
KL,8.1216,4 (Seasonal Mesic),9,1704,11,F
KL,7.8048,4 (Seasonal Mesic),9,1704,11,F
KL,7.5904,4 (Seasonal Mesic),9,1704,11,F
KL,7.4128,4 (Seasonal Mesic),9,1704,11,F
KL,6.8672,4 (Seasonal Mesic),9,1704,11,F
KL,6.624,4 (Seasonal Mesic),9,1704,11,F
KL,5.6384,4 (Seasonal Mesic),9,1704,11,F
KL,5.5808,4 (Seasonal Mesic),9,1704,11,F
KL,4.2672,4 (Seasonal Mesic),9,1704,11,F
KL,13.8528,4 (Seasonal Mesic),0,1704,11,U
KL,9.7456,4 (Seasonal Mesic),0,1704,11,U
KL,9.6816,4 (Seasonal Mesic),0,1704,11,U
KL,7.3312,4 (Seasonal Mesic),0,1704,11,U
KL,7.2848,4 (Seasonal Mesic),0,1704,11,U
KL,7.2112,4 (Seasonal Mesic),0,1704,11,U
KL,7.1856,4 (Seasonal Mesic),0,1704,11,U
KL,6.0464,4 (Seasonal Mesic),0,1704,11,U
KL,6.0032,4 (Seasonal Mesic),0,1704,11,U
KL,5.9168,4 (Seasonal Mesic),0,1704,11,U
KL,5.5104,4 (Seasonal Mesic),0,1704,11,U
KL,5.224,4 (Seasonal Mesic),0,1704,11,U
KL,4.9216,4 (Seasonal Mesic),0,1704,11,U
KL,4.848,4 (Seasonal Mesic),0,1704,11,U
KL,4.5488,4 (Seasonal Mesic),0,1704,11,U
KL,3.6432,4 (Seasonal Mesic),0,1704,11,U
KL,1.144,4 (Seasonal Mesic),0,1704,11,U
KO,24.0386715,6 (Moderately Wet),10,3200,18,F
KO,22.7484515,6 (Moderately Wet),10,3200,18,F
KO,22.1303945,6 (Moderately Wet),10,3200,18,F
KO,19.963033,6 (Moderately Wet),10,3200,18,F
KO,18.131753,6 (Moderately Wet),10,3200,18,F
KO,17.37635,6 (Moderately Wet),10,3200,18,F
KO,16.33585,6 (Moderately Wet),10,3200,18,F
KO,15.6075,6 (Moderately Wet),10,3200,18,F
KO,15.3994,6 (Moderately Wet),10,3200,18,F
KO,14.67105,6 (Moderately Wet),10,3200,18,F
KO,14.5888505,6 (Moderately Wet),10,3200,18,F
KO,14.4265325,6 (Moderately Wet),10,3200,18,F
KO,17.20987,6 (Moderately Wet),0,3200,18,U
KO,13.5296215,6 (Moderately Wet),0,3200,18,U
KO,9.1449545,6 (Moderately Wet),0,3200,18,U
KO,8.8203185,6 (Moderately Wet),0,3200,18,U
KO,8.090928,6 (Moderately Wet),0,3200,18,U
MA,21.52,4 (Seasonal Mesic),4,687,16.4,F
MA,21.408,4 (Seasonal Mesic),4,687,16.4,F
MA,19.264,4 (Seasonal Mesic),4,687,16.4,F
MA,17.648,4 (Seasonal Mesic),4,687,16.4,F
MA,17.184,4 (Seasonal Mesic),4,687,16.4,F
MA,15.76,4 (Seasonal Mesic),4,687,16.4,F
MA,15.568,4 (Seasonal Mesic),4,687,16.4,F
MA,15.424,4 (Seasonal Mesic),4,687,16.4,F
MA,14.784,4 (Seasonal Mesic),4,687,16.4,F
MA,13.712,4 (Seasonal Mesic),4,687,16.4,F
MA,13.504,4 (Seasonal Mesic),4,687,16.4,F
MA,11.552,4 (Seasonal Mesic),4,687,16.4,F
MA,10.496,4 (Seasonal Mesic),4,687,16.4,F
MA,10.256,4 (Seasonal Mesic),4,687,16.4,F
MA,8.928,4 (Seasonal Mesic),4,687,16.4,F
MA,7.104,4 (Seasonal Mesic),4,687,16.4,F
MA,18.68,4 (Seasonal Mesic),0,687,16.4,U
MA,16.1632,4 (Seasonal Mesic),0,687,16.4,U
MA,14.472,4 (Seasonal Mesic),0,687,16.4,U
MA,13.8688,4 (Seasonal Mesic),0,687,16.4,U
MA,13.6272,4 (Seasonal Mesic),0,687,16.4,U
MA,13.0832,4 (Seasonal Mesic),0,687,16.4,U
MA,12.8416,4 (Seasonal Mesic),0,687,16.4,U
MA,12.616,4 (Seasonal Mesic),0,687,16.4,U
MA,12.4672,4 (Seasonal Mesic),0,687,16.4,U
MA,12.2288,4 (Seasonal Mesic),0,687,16.4,U
MA,12.112,4 (Seasonal Mesic),0,687,16.4,U
MA,11.4544,4 (Seasonal Mesic),0,687,16.4,U
MA,11.3312,4 (Seasonal Mesic),0,687,16.4,U
MA,10.656,4 (Seasonal Mesic),0,687,16.4,U
MA,10.3568,4 (Seasonal Mesic),0,687,16.4,U
MA,8.0704,4 (Seasonal Mesic),0,687,16.4,U
MA,7.392,4 (Seasonal Mesic),0,687,16.4,U
PL,22.32,3 (Moderately Dry),6,580,19.8,F
PL,13.408,3 (Moderately Dry),6,580,19.8,F
